PackageId|ApplicationName|Version|Status
ilSoftwarePackageAAA_8|SoftwarePackageAAA|8|Current
ilSoftwarePackageAAA_7|SoftwarePackageAAA|7|Superceded
ilSoftwarePackageAAA_6|SoftwarePackageAAA|6|Obsolete
ilSoftwarePackageAAA_5|SoftwarePackageAAA|5|Obsolete
iwSoftwarePackageAAB_1|SoftwarePackageAAB|1|Current
ilSoftwarePackageAAC_8|SoftwarePackageAAC|8|Current
ilSoftwarePackageAAC_7|SoftwarePackageAAC|7|Superceded
ilSoftwarePackageAAC_6|SoftwarePackageAAC|6|Obsolete
ilSoftwarePackageAAC_5|SoftwarePackageAAC|5|Obsolete
ilSoftwarePackageAAC_4|SoftwarePackageAAC|4|Obsolete
ilSoftwarePackageAAC_3|SoftwarePackageAAC|3|Obsolete
ilSoftwarePackageAAD_8|SoftwarePackageAAD|8|Current
ilSoftwarePackageAAD_7|SoftwarePackageAAD|7|Superceded
ilSoftwarePackageAAD_6|SoftwarePackageAAD|6|Obsolete
ilSoftwarePackageAAD_5|SoftwarePackageAAD|5|Obsolete
ilSoftwarePackageAAD_4|SoftwarePackageAAD|4|Obsolete
ilSoftwarePackageAAD_3|SoftwarePackageAAD|3|Obsolete
ilSoftwarePackageAAD_2|SoftwarePackageAAD|2|Obsolete
ilSoftwarePackageAAE_1|SoftwarePackageAAE|1|Current
ilSoftwarePackageAAF_3|SoftwarePackageAAF|3|Current
ilSoftwarePackageAAF_2|SoftwarePackageAAF|2|Superceded
ilSoftwarePackageAAF_1|SoftwarePackageAAF|1|Obsolete
ilSoftwarePackageAAG_8|SoftwarePackageAAG|8|Current
ilSoftwarePackageAAG_7|SoftwarePackageAAG|7|Superceded
ilSoftwarePackageAAH_2|SoftwarePackageAAH|2|Current
ilSoftwarePackageAAH_1|SoftwarePackageAAH|1|Superceded
iwSoftwarePackageAAI_8|SoftwarePackageAAI|8|Current
iwSoftwarePackageAAI_7|SoftwarePackageAAI|7|Superceded
iwSoftwarePackageAAI_6|SoftwarePackageAAI|6|Obsolete
iwSoftwarePackageAAI_5|SoftwarePackageAAI|5|Obsolete
iwSoftwarePackageAAI_4|SoftwarePackageAAI|4|Obsolete
iwSoftwarePackageAAI_3|SoftwarePackageAAI|3|Obsolete
iwSoftwarePackageAAI_2|SoftwarePackageAAI|2|Obsolete
iwSoftwarePackageAAI_1|SoftwarePackageAAI|1|Obsolete
ilSoftwarePackageAAJ_3|SoftwarePackageAAJ|3|Current
ilSoftwarePackageAAJ_2|SoftwarePackageAAJ|2|Superceded
ilSoftwarePackageAAJ_1|SoftwarePackageAAJ|1|Obsolete
iwSoftwarePackageAAK_4|SoftwarePackageAAK|4|Current
